consumo (m3);mes;id_comuna
13094.0;12;41
24277.0;1;209
27542.0;2;209
27773.4;3;209
26787.96;4;209
23311.97;5;209
22147.09;6;209
19952.92;7;209
6394.080000000002;8;209
21266.04;9;209
22001.1;10;209
17640.98;11;209
22967.1;12;209
1188143.05;1;172
1162823.01;2;172
1133472.42;3;172
1136836.5799999998;4;172
1193194.48;5;172
1085451.64;6;172
1126215.6;7;172
1006907.61;8;172
1117751.09;9;172
1144088.66;10;172
1118651.5000000002;11;172
1269677.0799999998;12;172
733964.0;1;220
642697.0;2;220
692781.0;3;220
691889.0;4;220
700951.0;5;220
680779.0;6;220
683947.0;7;220
702795.0;8;220
692305.0;9;220
691241.0;10;220
715553.0;11;220
712869.0;12;220
11780.0;1;153
13379.0;2;153
11225.0;3;153
8691.0;4;153
8564.0;5;153
10110.0;6;153
8488.0;7;153
8495.0;8;153
8929.0;9;153
9477.0;10;153
10091.0;11;153
10602.0;12;153
175023.13;1;28
171983.34;2;28
164722.68000000002;3;28
168568.49;4;28
150645.74;5;28
142169.69;6;28
131217.25;7;28
129444.45;8;28
135045.71;9;28
152583.35;10;28
162406.85000000003;11;28
177201.40000000002;12;28
789987.4999999999;1;16
759651.4999999999;2;16
730613.8300000002;3;16
724376.9500000001;4;16
691845.3599999999;5;16
643950.5099999999;6;16
636113.03;7;16
631205.9699999999;8;16
634446.6899999998;9;16
671529.9500000001;10;16
697122.7400000001;11;16
730018.54;12;16
3939.02;1;131
4239.02;2;131
4540.040000000001;3;131
3586.03;4;131
3342.02;5;131
3432.01;6;131
3459.0;7;131
3037.02;8;131
3102.03;9;131
3665.6;10;131
3157.04;11;131
3331.02;12;131
82891.8;1;17
83993.98;2;17
82516.6;3;17
79532.0;4;17
78301.02;5;17
75479.0;6;17
74770.01000000001;7;17
70732.00000000001;8;17
74291.03;9;17
77712.02;10;17
76705.0;11;17
80811.51;12;17
13891.0;1;221
13026.0;2;221
12471.0;3;221
11748.0;4;221
11271.0;5;221
10453.0;6;221
10091.0;7;221
9720.0;8;221
9629.0;9;221
11388.0;10;221
11513.0;11;221
12443.0;12;221
49562.02;1;125
47681.0;2;125
45482.98;3;125
43537.93;4;125
39824.87;5;125
39930.97;6;125
35208.03;7;125
35514.03;8;125
39609.97;9;125
44883.0;10;125
39381.92;11;125
48017.98;12;125
298315.28;1;21
307996.43;2;21
304536.71;3;21
288056.6;4;21
272252.22;5;21
235992.08;6;21
230239.3;7;21
223563.48;8;21
229417.18;9;21
255689.35000000003;10;21
280337.15;11;21
300495.27;12;21
248331.0;1;10
237946.0;2;10
226260.0;3;10
191983.0;4;10
191576.0;5;10
178975.0;6;10
176527.0;7;10
169799.0;8;10
176660.0;9;10
184550.0;10;10
197074.0;11;10
222678.0;12;10
65591.38;1;143
69509.46;2;143
66367.54000000001;3;143
59874.71;4;143
57395.89;5;143
55898.98;6;143
57152.740000000005;7;143
57153.62;8;143
53009.73;9;143
57085.05;10;143
61728.4;11;143
62684.130000000005;12;143
90132.01000000002;1;80
83589.03;2;80
84580.47000000002;3;80
84337.82999999999;4;80
77320.38;5;80
74456.08;6;80
72867.12000000001;7;80
71908.54000000001;8;80
75174.55;9;80
76566.3;10;80
82080.64;11;80
85379.15;12;80
21627.0;1;210
21012.0;2;210
21956.0;3;210
20167.0;4;210
19059.0;5;210
18376.0;6;210
17834.0;7;210
